year,race_name,driver_id,position,points,status,sample_weight,driver_momentum,track_history,season_points,reg_impact,driver_idx,track_idx
2024,Bahrain Grand Prix,PER,2,18.0,Finished,1.0,12.0,12.0,0.0,0.0,18,4
2024,Bahrain Grand Prix,SAI,3,15.0,Finished,1.0,12.0,12.0,0.0,0.0,22,4
2024,Bahrain Grand Prix,LEC,4,12.0,Finished,1.0,12.0,12.0,0.0,0.0,13,4
2024,Bahrain Grand Prix,RUS,5,10.0,Finished,1.0,12.0,12.0,0.0,0.0,21,4
2024,Bahrain Grand Prix,NOR,6,8.0,Finished,1.0,12.0,12.0,0.0,0.0,16,4
2024,Bahrain Grand Prix,HAM,7,6.0,Finished,1.0,12.0,12.0,0.0,0.0,10,4
2024,Bahrain Grand Prix,PIA,8,4.0,Finished,1.0,12.0,12.0,0.0,0.0,19,4
2024,Bahrain Grand Prix,ALO,9,2.0,Finished,1.0,12.0,12.0,0.0,0.0,1,4
2024,Bahrain Grand Prix,STR,10,1.0,Finished,1.0,12.0,12.0,0.0,0.0,24,4
2024,Bahrain Grand Prix,ZHO,11,0.0,Lapped,1.0,12.0,12.0,0.0,0.0,27,4
2024,Bahrain Grand Prix,MAG,12,0.0,Lapped,1.0,12.0,12.0,0.0,0.0,15,4
2024,Bahrain Grand Prix,RIC,13,0.0,Lapped,1.0,12.0,12.0,0.0,0.0,20,4
2024,Bahrain Grand Prix,TSU,14,0.0,Lapped,1.0,12.0,12.0,0.0,0.0,25,4
2024,Bahrain Grand Prix,ALB,15,0.0,Lapped,1.0,12.0,12.0,0.0,0.0,0,4
2024,Bahrain Grand Prix,HUL,16,0.0,Lapped,1.0,12.0,12.0,0.0,0.0,11,4
2024,Bahrain Grand Prix,OCO,17,0.0,Lapped,1.0,12.0,12.0,0.0,0.0,17,4
2024,Bahrain Grand Prix,GAS,18,0.0,Lapped,1.0,12.0,12.0,0.0,0.0,8,4
2024,Bahrain Grand Prix,BOT,19,0.0,Lapped,1.0,12.0,12.0,0.0,0.0,5,4
2024,Bahrain Grand Prix,SAR,20,0.0,Lapped,1.0,12.0,12.0,0.0,0.0,23,4
2024,Bahrain Grand Prix,VER,1,26.0,Finished,1.0,12.0,12.0,0.0,0.0,26,4
2024,Saudi Arabian Grand Prix,VER,1,25.0,Finished,1.0,1.0,12.0,26.0,0.0,26,19
2024,Saudi Arabian Grand Prix,GAS,20,0.0,Retired,1.0,18.0,12.0,0.0,0.0,8,19
2024,Saudi Arabian Grand Prix,STR,19,0.0,Retired,1.0,10.0,12.0,1.0,0.0,24,19
2024,Saudi Arabian Grand Prix,ZHO,18,0.0,Lapped,1.0,11.0,12.0,0.0,0.0,27,19
2024,Saudi Arabian Grand Prix,BOT,17,0.0,Lapped,1.0,19.0,12.0,0.0,0.0,5,19
2024,Saudi Arabian Grand Prix,RIC,16,0.0,Lapped,1.0,13.0,12.0,0.0,0.0,20,19
2024,Saudi Arabian Grand Prix,TSU,15,0.0,Lapped,1.0,14.0,12.0,0.0,0.0,25,19
2024,Saudi Arabian Grand Prix,SAR,14,0.0,Lapped,1.0,20.0,12.0,0.0,0.0,23,19
2024,Saudi Arabian Grand Prix,OCO,13,0.0,Lapped,1.0,17.0,12.0,0.0,0.0,17,19
2024,Saudi Arabian Grand Prix,MAG,12,0.0,Finished,1.0,12.0,12.0,0.0,0.0,15,19
2024,Saudi Arabian Grand Prix,ALB,11,0.0,Finished,1.0,15.0,12.0,0.0,0.0,0,19
2024,Saudi Arabian Grand Prix,HUL,10,1.0,Finished,1.0,16.0,12.0,0.0,0.0,11,19
2024,Saudi Arabian Grand Prix,HAM,9,2.0,Finished,1.0,7.0,12.0,6.0,0.0,10,19
2024,Saudi Arabian Grand Prix,NOR,8,4.0,Finished,1.0,6.0,12.0,8.0,0.0,16,19
2024,Saudi Arabian Grand Prix,BEA,7,6.0,Finished,1.0,12.0,12.0,0.0,0.0,3,19
2024,Saudi Arabian Grand Prix,RUS,6,8.0,Finished,1.0,5.0,12.0,10.0,0.0,21,19
2024,Saudi Arabian Grand Prix,ALO,5,10.0,Finished,1.0,9.0,12.0,2.0,0.0,1,19
2024,Saudi Arabian Grand Prix,PIA,4,12.0,Finished,1.0,8.0,12.0,4.0,0.0,19,19
2024,Saudi Arabian Grand Prix,LEC,3,16.0,Finished,1.0,4.0,12.0,12.0,0.0,13,19
2024,Saudi Arabian Grand Prix,PER,2,18.0,Finished,1.0,2.0,12.0,18.0,0.0,18,19
2024,Australian Grand Prix,LEC,2,19.0,Finished,1.0,3.5,12.0,28.0,0.0,13,1
2024,Australian Grand Prix,SAI,1,25.0,Finished,1.0,3.0,12.0,15.0,0.0,22,1
2024,Australian Grand Prix,NOR,3,15.0,Finished,1.0,7.0,12.0,12.0,0.0,16,1
2024,Australian Grand Prix,PIA,4,12.0,Finished,1.0,6.0,12.0,16.0,0.0,19,1
2024,Australian Grand Prix,PER,5,10.0,Finished,1.0,2.0,12.0,36.0,0.0,18,1
2024,Australian Grand Prix,STR,6,8.0,Finished,1.0,14.5,12.0,1.0,0.0,24,1
2024,Australian Grand Prix,TSU,7,6.0,Finished,1.0,14.5,12.0,0.0,0.0,25,1
2024,Australian Grand Prix,ALO,8,4.0,Finished,1.0,7.0,12.0,12.0,0.0,1,1
2024,Australian Grand Prix,HUL,9,2.0,Finished,1.0,13.0,12.0,1.0,0.0,11,1
2024,Australian Grand Prix,MAG,10,1.0,Lapped,1.0,12.0,12.0,0.0,0.0,15,1
2024,Australian Grand Prix,ALB,11,0.0,Lapped,1.0,13.0,12.0,0.0,0.0,0,1
2024,Australian Grand Prix,RIC,12,0.0,Lapped,1.0,14.5,12.0,0.0,0.0,20,1
2024,Australian Grand Prix,GAS,13,0.0,Lapped,1.0,19.0,12.0,0.0,0.0,8,1
2024,Australian Grand Prix,BOT,14,0.0,Lapped,1.0,18.0,12.0,0.0,0.0,5,1
2024,Australian Grand Prix,ZHO,15,0.0,Lapped,1.0,14.5,12.0,0.0,0.0,27,1
2024,Australian Grand Prix,OCO,16,0.0,Lapped,1.0,15.0,12.0,0.0,0.0,17,1
2024,Australian Grand Prix,RUS,17,0.0,Retired,1.0,5.5,12.0,18.0,0.0,21,1
2024,Australian Grand Prix,HAM,18,0.0,Retired,1.0,8.0,12.0,8.0,0.0,10,1
2024,Australian Grand Prix,VER,19,0.0,Retired,1.0,1.0,12.0,51.0,0.0,26,1
2024,Japanese Grand Prix,VER,1,26.0,Finished,1.0,7.0,12.0,51.0,0.0,26,13
2024,Japanese Grand Prix,PER,2,18.0,Finished,1.0,3.0,12.0,46.0,0.0,18,13
